epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1426.74,1.30218,1.11192,1.23317,0.87545,0.76674,0.87084,0.54942,1.15852,0.87736,1.08174,0.00745,0.00745,0.00745
87,1443.41,1.29264,1.12004,1.22567,0.89245,0.76896,0.84839,0.50101,1.28813,0.97892,1.13997,0.00742,0.00742,0.00742
88,1459.95,1.29065,1.10273,1.23561,0.8965,0.75611,0.86844,0.55331,1.1476,0.92272,1.07138,0.00739,0.00739,0.00739
89,1476.6,1.27328,1.11379,1.21884,0.86057,0.76187,0.86455,0.58856,1.08891,0.96045,1.06436,0.00736,0.00736,0.00736
90,1493.21,1.28767,1.11667,1.22562,0.87111,0.75736,0.84538,0.50973,1.3373,0.98035,1.1451,0.00733,0.00733,0.00733
91,1509.75,1.27081,1.07784,1.21614,0.86407,0.77553,0.862,0.54561,1.11261,0.89903,1.06704,0.0073,0.0073,0.0073
92,1526.24,1.26158,1.09307,1.21535,0.8695,0.7921,0.87172,0.56632,1.11585,0.87522,1.06916,0.00727,0.00727,0.00727
93,1542.83,1.27381,1.09586,1.23071,0.86046,0.80275,0.87254,0.58791,1.08198,0.88825,1.04877,0.00724,0.00724,0.00724
94,1559.37,1.24905,1.07639,1.1995,0.87615,0.77162,0.86236,0.52885,1.26037,0.90304,1.11579,0.00721,0.00721,0.00721
95,1575.87,1.26232,1.07665,1.20972,0.85239,0.74965,0.84386,0.53725,1.16622,0.95939,1.09478,0.00718,0.00718,0.00718
96,1592.46,1.29004,1.08679,1.22518,0.86688,0.77583,0.87396,0.56869,1.13637,0.85786,1.06745,0.00715,0.00715,0.00715
97,1609.01,1.27126,1.0882,1.21552,0.85905,0.7902,0.85919,0.56636,1.10757,0.88318,1.07717,0.00712,0.00712,0.00712
98,1625.6,1.27392,1.09521,1.21727,0.83932,0.79605,0.85577,0.55264,1.1086,0.94608,1.06603,0.00709,0.00709,0.00709
99,1642.13,1.26267,1.06469,1.20495,0.88243,0.81614,0.87846,0.56254,1.17041,0.87762,1.06514,0.00706,0.00706,0.00706
100,1658.61,1.24012,1.05558,1.19818,0.90341,0.78832,0.88004,0.55095,1.20743,0.83926,1.09841,0.00703,0.00703,0.00703
101,1675.17,1.24201,1.04378,1.18933,0.88782,0.80244,0.88131,0.55842,1.09766,0.89788,1.05864,0.007,0.007,0.007
102,1691.68,1.25632,1.05675,1.20226,0.86223,0.81156,0.88336,0.55973,1.13477,0.86851,1.07309,0.00697,0.00697,0.00697
103,1708.37,1.26857,1.08441,1.21798,0.8611,0.80499,0.87382,0.56812,1.18215,0.88583,1.08456,0.00694,0.00694,0.00694
104,1725.04,1.27111,1.06705,1.21559,0.88307,0.81299,0.89213,0.55732,1.20449,0.84656,1.09525,0.00691,0.00691,0.00691
105,1741.65,1.27709,1.06489,1.21706,0.91279,0.79524,0.88829,0.56623,1.2138,0.83857,1.09102,0.00688,0.00688,0.00688
106,1758.4,1.24973,1.07012,1.18788,0.89702,0.80298,0.902,0.58185,1.17242,0.83959,1.0712,0.00685,0.00685,0.00685
107,1774.97,1.25625,1.04712,1.21321,0.8468,0.85139,0.89151,0.59086,1.08117,0.87179,1.05214,0.00682,0.00682,0.00682
108,1791.57,1.24188,1.06202,1.2003,0.87638,0.81563,0.88591,0.54681,1.20061,0.90857,1.0751,0.00679,0.00679,0.00679
109,1808.19,1.25729,1.07845,1.20381,0.88544,0.78501,0.88326,0.56997,1.14201,0.88346,1.06654,0.00676,0.00676,0.00676
110,1824.86,1.25183,1.05301,1.20236,0.87247,0.80103,0.89108,0.56569,1.19528,0.88795,1.08413,0.00673,0.00673,0.00673
111,1841.6,1.24934,1.04902,1.20412,0.85653,0.8329,0.88518,0.56971,1.16407,0.85208,1.08468,0.0067,0.0067,0.0067
112,1858.13,1.23787,1.04745,1.19663,0.85691,0.79513,0.86707,0.54073,1.21588,0.87052,1.08676,0.00667,0.00667,0.00667
113,1874.74,1.25732,1.05543,1.18778,0.88313,0.79347,0.88398,0.57011,1.1726,0.87722,1.07408,0.00664,0.00664,0.00664
114,1891.33,1.24859,1.07275,1.21455,0.87998,0.79727,0.87641,0.53922,1.17936,0.90153,1.08135,0.00661,0.00661,0.00661
115,1907.91,1.25106,1.06302,1.20033,0.83714,0.75364,0.85529,0.5029,1.2177,0.93345,1.09836,0.00658,0.00658,0.00658
116,1924.57,1.24694,1.04092,1.20179,0.84958,0.80925,0.87483,0.55777,1.11672,0.86936,1.06929,0.00655,0.00655,0.00655
117,1941.25,1.24122,1.0203,1.1993,0.87131,0.80498,0.88084,0.57989,1.13471,0.87289,1.05051,0.00652,0.00652,0.00652
118,1958.21,1.23025,1.0519,1.19212,0.83158,0.81591,0.88415,0.57203,1.11351,0.8677,1.0509,0.00649,0.00649,0.00649
119,1976.15,1.23253,1.03582,1.18886,0.82717,0.82281,0.8662,0.5211,1.25504,0.92277,1.11137,0.00646,0.00646,0.00646
120,1994,1.23316,1.01755,1.19129,0.84742,0.7745,0.84605,0.52519,1.21703,0.90254,1.1041,0.00643,0.00643,0.00643
121,2011.96,1.25364,1.0326,1.20274,0.85333,0.7738,0.85767,0.54421,1.20927,0.99372,1.07518,0.0064,0.0064,0.0064
122,2030.86,1.23673,1.03662,1.19353,0.85199,0.78761,0.85101,0.53903,1.20726,0.94635,1.08879,0.00637,0.00637,0.00637
123,2049.58,1.24104,1.03756,1.19667,0.82668,0.80052,0.86937,0.56189,1.11707,0.91785,1.05255,0.00634,0.00634,0.00634
124,2068.19,1.24592,1.03289,1.20172,0.81532,0.79168,0.85282,0.51455,1.26105,0.94672,1.08462,0.00631,0.00631,0.00631
125,2086.5,1.25024,1.02975,1.20805,0.81761,0.78963,0.8544,0.54589,1.14638,0.93555,1.06352,0.00628,0.00628,0.00628
126,2105.58,1.22495,1.01437,1.2031,0.85591,0.82049,0.87133,0.55585,1.21325,0.90926,1.09424,0.00625,0.00625,0.00625
127,2124.56,1.22885,1.00578,1.19031,0.83031,0.77343,0.83726,0.52803,1.17696,0.9913,1.10166,0.00622,0.00622,0.00622
128,2143.33,1.23805,1.0267,1.18761,0.80812,0.73254,0.82722,0.52155,1.16655,1.09729,1.08215,0.00619,0.00619,0.00619
129,2161.94,1.22633,1.02059,1.18628,0.81197,0.75566,0.83114,0.49115,1.33883,0.99972,1.13908,0.00616,0.00616,0.00616
130,2180.31,1.24113,1.03741,1.19599,0.81705,0.78495,0.85653,0.53237,1.10161,0.96735,1.06932,0.00613,0.00613,0.00613
131,2199.34,1.21917,1.01526,1.18343,0.78424,0.80472,0.84364,0.54192,1.20717,0.93603,1.08838,0.0061,0.0061,0.0061
132,2217.63,1.20518,0.98351,1.17574,0.78554,0.73963,0.80632,0.46324,1.33642,1.15598,1.13524,0.00607,0.00607,0.00607
133,2235.76,1.24749,1.01673,1.18605,0.83986,0.75521,0.87085,0.53891,1.24289,0.92504,1.09709,0.00604,0.00604,0.00604
